AccSpeciesName,endo,wind,cache,water,ant,attach,ballistic,biotic
Acacia ligulata,0.277777777777778,0,0,0,0.722222222222222,0,0,1
Acacia linifolia,0,0,0,0,1,0,0,1
Acacia longifolia,0.5,0,0,0,0.5,0,0,1
Acacia maidenii,1,0,0,0,0,0,0,1
Acacia mangium,1,0,0,0,0,0,0,0.666666666666667
Acacia mearnsii,0,0,0,0,1,0,0,1
Acacia melanoxylon,1,0,0,0,0,0,0,1
Acacia midgleyi,1,0,0,0,0,0,0,1
Acacia minutifolia,0,0,0,0,1,0,0,1
Acacia myrtifolia,0,0,0,0,1,0,0,1
Acacia nilotica,0.857142857142857,0,0.142857142857143,0,0,0,0,1
Acacia oraria,1,0,0,0,0,0,0,1
Acacia oswaldii,0,0,0,0,1,0,0,1
Acacia oxycedrus,0,0,0,0,1,0,0,1
Acacia paradoxa,0,0,0,0,1,0,0,1
Acacia pennata,1,0,0,0,0,0,0,1
Acacia podalyriifolia,0.5,0,0,0,0.5,0,0,1
Acacia polystachya,1,0,0,0,0,0,0,1
Acacia prainii,0,0,0,0,1,0,0,1
Acacia prominens,0.5,0,0,0,0.5,0,0,1
Acacia pruinocarpa,0,0,0,0,1,0,0,1
Acacia pulchella,0,0,0,0,1,0,0,1
Acacia pycnantha,0,0,0,0,1,0,0,1
Acacia ramulosa,0,0,0,0,1,0,0,1
Acacia rubida,0,0,0,0,1,0,0,1
Acacia salicina,0.666666666666667,0,0,0.333333333333333,0,0,0,0.777777777777778
Acacia saligna,0,0,0,0,1,0,0,1
Acacia sophorae,1,0,0,0,0,0,0,1
Acacia spirorbis,1,0,0,0,0,0,0,1
Acacia spondylophylla,0,0,0,0,1,0,0,1
Acacia stenophylla,0,0,0,1,0,0,0,0
Acacia suaveolens,0,0,0,0,1,0,0,1
Acacia tenuissima,0,0,0,0,1,0,0,1
Acacia terminalis,0,0,0,0,1,0,0,1
Acacia tetragonophylla,0.857142857142857,0,0,0,0.142857142857143,0,0,1
Acacia ulicifolia,0,0,0,0,1,0,0,1
Acacia victoriae,0,0,0,0,1,0,0,1
Acaciella angustissima,0,0,0,0,1,0,0,1
Acaena anserinifolia,0,0,0,0,0,1,0,1
Acaena buchananii,0,0,0,0,0,1,0,1
Acaena caesiiglauca,0,0,0,0,0,1,0,1
Acaena dumicola,0,0,0,0,0,1,0,1
Acaena emittens,0,0,0,0,0,1,0,1
Acaena fissistipula,0,0,0,0,0,1,0,1
Acaena glabra,0,1,0,0,0,0,0,0
Acaena inermis,0,0,0,0,0,1,0,1
Acaena juvenca,0,0,0,0,0,1,0,1
Acaena magellanica,0,0,0,0,0,1,0,1
Acaena microphylla,0,0,0,0,0,1,0,1
Acaena minor,0,0,0,0,0,1,0,1
Acaena novae-zelandiae,0.5,0.25,0,0,0,0.25,0,0.888888888888889
Acaena ovina,0,0,0,0,0,1,0,1
Acaena pallida,0,0,0,0,0,1,0,1
Acaena profundeincisa,0,0,0,0,0,1,0,1
Acaena rorida,0,0,0,0,0,1,0,1
Acaena saccaticupula,0,0,0,0,0,1,0,1
Acaena tesca,0,0,0,0,0,1,0,1
Acalypha diversifolia,0,0,0,0,0,0,1,0
Acalypha integrifolia,0,1,0,0,0,0,0,0
Acalypha macrostachya,0,0,0,0,0,0,1,0
Acalypha mapirensis,0,0,0,0,0,0,1,0
Acalypha nemorum,0,0,0,0,1,0,0,1
Acalypha repanda,1,0,0,0,0,0,0,1
Acalypha stenoloba,0,0,0,0,0,0,1,0
Acalypha stricta,0,0,0,0,0,0,1,0
Acalypha virginica,0.25,0,0.25,0,0.25,0.25,0,1
Acanthocereus hirschtianus,1,0,0,0,0,0,0,1
Acanthocereus tetragonus,1,0,0,0,0,0,0,1
Acantholippia seriphioides,0,0,0,0,1,0,0,1
Acanthopanax spinosus,1,0,0,0,0,0,0,1
Acanthophoenix crinita,1,0,0,0,0,0,0,1
Acanthophoenix rubra,1,0,0,0,0,0,0,1
Acanthosicyos naudinianus,1,0,0,0,0,0,0,1
Acanthosyris annonagustata,0,0,1,0,0,0,0,1
Acanthus spinosus,0,1,0,0,0,0,0,0
Acer campestre,0.0564516129032258,0.548387096774194,0.282258064516129,0,0,0.112903225806452,0,0.371681415929204
Acer cappadocicum,0,1,0,0,0,0,0,0
Acer circinatum,0,1,0,0,0,0,0,0
Acer floridanum,0,1,0,0,0,0,0,0
Acer glabrum,0,1,0,0,0,0,0,0
Acer granatense,0,1,0,0,0,0,0,0
Acer griseum,0,1,0,0,0,0,0,0
Acer laurinum,0,1,0,0,0,0,0,0
Acer leucoderme,0,1,0,0,0,0,0,0
Acer macrophyllum,0,1,0,0,0,0,0,0
Acer monspessulanum,0,1,0,0,0,0,0,0
Acer negundo,0,0.909090909090909,0.0909090909090909,0,0,0,0,0.133333333333333
Acer nigrum,0,1,0,0,0,0,0,0
Acer opalus,0,1,0,0,0,0,0,0
Acer palmatum,0,1,0,0,0,0,0,0
Acer pensylvanicum,0,0.857142857142857,0.142857142857143,0,0,0,0,0.142857142857143
Acer pictum,0,0,1,0,0,0,0,0.666666666666667
Acer platanoides,0.1,0.8,0.1,0,0,0,0,0.153846153846154
Acer pseudoplatanus,0.064066852367688,0.568245125348189,0.245125348189415,0,0,0.122562674094708,0,0.168702290076336
Acer rubrum,0,0.941176470588235,0.0588235294117647,0,0,0,0,0.0454545454545455
Acer saccharinum,0,1,0,0,0,0,0,0
Acer saccharum,0,0.888888888888889,0.111111111111111,0,0,0,0,0.0952380952380952
Acer spicatum,0,1,0,0,0,0,0,0
Acer tataricum,0,1,0,0,0,0,0,0
Aceratium concinnum,1,0,0,0,0,0,0,1
Aceratium doggrellii,1,0,0,0,0,0,0,1
Aceratium ferrugineum,1,0,0,0,0,0,0,1
Aceratium ledermannii,1,0,0,0,0,0,0,1
Aceratium megalospermum,1,0,0,0,0,0,0,1
Aceratium muellerianum,1,0,0,0,0,0,0,1
Aceratium pittosporoides,1,0,0,0,0,0,0,1
Aceratium sericoleopsis,1,0,0,0,0,0,0,1
Aceratium tomentosum,1,0,0,0,0,0,0,1
Achatocarpus nigricans,1,0,0,0,0,0,0,1
Achatocarpus praecox,1,0,0,0,0,0,0,1
Achatocarpus pubescens,1,0,0,0,0,0,0,1
Achillea atrata,0,1,0,0,0,0,0,0
Achillea erba-rotta,0,1,0,0,0,0,0,0
Achillea filipendulina,0,1,0,0,0,0,0,0
Achillea maritima,0,0.5,0,0.5,0,0,0,0
Achillea millefolium,0.35,0.466666666666667,0.0333333333333333,0.0333333333333333,0,0.0833333333333333,0.0333333333333333,0.52112676056338
Achillea nana,0,1,0,0,0,0,0,0
Achillea nobilis,0,1,0,0,0,0,0,0
Achillea pannonica,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.666666666666667
Achillea ptarmica,0.268292682926829,0.487804878048781,0,0.24390243902439,0,0,0,0.0523809523809524
Achnatherum calamagrostis,0,1,0,0,0,0,0,0
Achnatherum occidentale,0,0,1,0,0,0,0,1
Achnatherum parviflorum,0,1,0,0,0,0,0,0
Achnatherum petriei,0,1,0,0,0,0,0,0
Achyranthes aspera,0,0,0,0,0,1,0,1
Acianthera sonderiana,1,0,0,0,0,0,0,1
Acianthus sinclairii,0,1,0,0,0,0,0,0
Acinos alpinus,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.714285714285714
Acioa dolichopoda,0,0,1,0,0,0,0,1
Acioa edulis,0,0,1,0,0,0,0,1
Acioa guianensis,0,0,1,0,0,0,0,1
Acioa longipendula,0,0,1,0,0,0,0,1
Acioa schultesii,0,0,1,0,0,0,0,1
Aciphylla anomala,0,1,0,0,0,0,0,0
Aciphylla aurea,0,1,0,0,0,0,0,0
Aciphylla cartilaginea,0,1,0,0,0,0,0,0
Aciphylla colensoi,0,1,0,0,0,0,0,0
Aciphylla congesta,0,1,0,0,0,0,0,0
Aciphylla crenulata,0,1,0,0,0,0,0,0
Aciphylla crosby-smithii,0,1,0,0,0,0,0,0
Aciphylla dieffenbachii,0,1,0,0,0,0,0,0
Aciphylla dissecta,0,1,0,0,0,0,0,0
Aciphylla divisa,0,1,0,0,0,0,0,0
Aciphylla dobsonii,0,1,0,0,0,0,0,0
Aciphylla ferox,0,1,0,0,0,0,0,0
Aciphylla glaucescens,0,1,0,0,0,0,0,0
Aciphylla hectori,0,1,0,0,0,0,0,0
Aciphylla hookeri,0,1,0,0,0,0,0,0
Aciphylla horrida,0,1,0,0,0,0,0,0
Aciphylla kirkii,0,1,0,0,0,0,0,0
Aciphylla lecomtei,0,1,0,0,0,0,0,0
Aciphylla leighii,0,1,0,0,0,0,0,0
Aciphylla lyallii,0,1,0,0,0,0,0,0
Aciphylla monroi,0,1,0,0,0,0,0,0
Aciphylla montana,0,1,0,0,0,0,0,0
Aciphylla multisecta,0,1,0,0,0,0,0,0
Aciphylla pinnatifida,0,1,0,0,0,0,0,0
Aciphylla polita,0,1,0,0,0,0,0,0
Aciphylla similis,0,1,0,0,0,0,0,0
Aciphylla simplex,0,1,0,0,0,0,0,0
Aciphylla spedenii,0,1,0,0,0,0,0,0
Aciphylla squarrosa,0,1,0,0,0,0,0,0
Aciphylla stannensis,0,1,0,0,0,0,0,0
Aciphylla subflabellata,0,1,0,0,0,0,0,0
Aciphylla traillii,0,1,0,0,0,0,0,0
Aciphylla traversii,0,1,0,0,0,0,0,0
Aciphylla trifoliolata,0,1,0,0,0,0,0,0
Ackama nubicola,0,1,0,0,0,0,0,0
Ackama rosifolia,0,1,0,0,0,0,0,0
Acmanthera latifolia,0,0,0,1,0,0,0,0
Acnistus arborescens,1,0,0,0,0,0,0,1
Acoelorraphe wrightii,1,0,0,0,0,0,0,1
Acokanthera oblongifolia,1,0,0,0,0,0,0,0.666666666666667
Acokanthera oppositifolia,1,0,0,0,0,0,0,1
Acokanthera rotundata,1,0,0,0,0,0,0,1
Aconitum lycoctonum,0.5,0,0,0.5,0,0,0,0.333333333333333
Aconitum variegatum,0,1,0,0,0,0,0,0
Acorus calamus,1,0,0,0,0,0,0,0.0357142857142857
Acorus gramineus,1,0,0,0,0,0,0,1
Acosmium cardenasii,0,1,0,0,0,0,0,0
Acourtia fruticosa,0,1,0,0,0,0,0,0
Acourtia microcephala,0,1,0,0,0,0,0,0
Acridocarpus smeathmannii,0,1,0,0,0,0,0,0
Acrocomia aculeata,0.8125,0,0.1875,0,0,0,0,1
Acrocomia intumescens,0,0,1,0,0,0,0,1
Acrodon subulatus,0,0,0,1,0,0,0,0
Acronychia aberrans,1,0,0,0,0,0,0,1
Acronychia acidula,1,0,0,0,0,0,0,1
Acronychia acronychioides,0.2,0,0.8,0,0,0,0,1
Acronychia acuminata,1,0,0,0,0,0,0,1
Acronychia chooreechillum,1,0,0,0,0,0,0,1
Acronychia crassipetala,1,0,0,0,0,0,0,1
Acronychia eungellensis,1,0,0,0,0,0,0,1
Acronychia imperforata,1,0,0,0,0,0,0,1
Acronychia laevis,1,0,0,0,0,0,0,1
Acronychia parviflora,1,0,0,0,0,0,0,1
Acronychia pauciflora,1,0,0,0,0,0,0,1
Acronychia pedunculata,1,0,0,0,0,0,0,1
Acronychia vestita,1,0,0,0,0,0,0,1
Acrospelion distichophyllum,0,1,0,0,0,0,0,0
Acrothamnus colensoi,1,0,0,0,0,0,0,1
Acrothamnus spathaceus,1,0,0,0,0,0,0,1
Acrotriche aggregata,1,0,0,0,0,0,0,1
Acrotriche baileyana,1,0,0,0,0,0,0,1
Acrotriche divaricata,1,0,0,0,0,0,0,1
Actaea arguta,1,0,0,0,0,0,0,1
Actaea asiatica,1,0,0,0,0,0,0,1
Actaea erythrocarpa,1,0,0,0,0,0,0,1
Actaea pachypoda,1,0,0,0,0,0,0,1
Actaea rubra,1,0,0,0,0,0,0,1
Actaea spicata,0.934782608695652,0,0.0217391304347826,0.0434782608695652,0,0,0,0.892857142857143
Actephila excelsa,1,0,0,0,0,0,0,1
Actephila lindleyi,0,0,0,0,0,0,1,0
Actinanthella menyharthii,1,0,0,0,0,0,0,1
Actinidia arguta,1,0,0,0,0,0,0,1
Actinidia callosa,1,0,0,0,0,0,0,1
Actinidia rufa,1,0,0,0,0,0,0,1
Actinodaphne acuminata,1,0,0,0,0,0,0,1
Actinodaphne angustifolia,1,0,0,0,0,0,0,1
Actinodaphne borneensis,1,0,0,0,0,0,0,1
Actinodaphne hookeri,1,0,0,0,0,0,0,1
Actinodaphne macrophylla,1,0,0,0,0,0,0,1
Actinodaphne obovata,0.2,0,0.8,0,0,0,0,1
Actinokentia divaricata,1,0,0,0,0,0,0,1
Actinostemon amazonicus,0,0,0,0,0,0,1,0
Actinotus helianthi,0,1,0,0,0,0,0,0
Actinotus minor,0,0,0,0,1,0,0,1
Actinotus novae-zelandiae,0,0,0,1,0,0,0,0
Adansonia digitata,1,0,0,0,0,0,0,1
Adelia ricinella,0,0,0,0,0,0,1,0
Adelobotrys adscendens,0,1,0,0,0,0,0,0
Adelonema picturatum,1,0,0,0,0,0,0,1
Adelonema wendlandii,1,0,0,0,0,0,0,1
Adelopetalum tuberculatum,0,1,0,0,0,0,0,0
Adenanthera pavonina,1,0,0,0,0,0,0,1
Adenaria floribunda,1,0,0,0,0,0,0,1
Adenia cissampeloides,1,0,0,0,0,0,0,1
Adenia heterophylla,1,0,0,0,0,0,0,1
Adenia rumicifolia,1,0,0,0,0,0,0,1
Adenocalymma albiflorum,0,1,0,0,0,0,0,0
Adenocalymma cladotrichum,0,0,0,1,0,0,0,0
Adenocalymma moringifolium,0,1,0,0,0,0,0,0
Adenocalymma racemosum,0,1,0,0,0,0,0,0
Adenocalymma saulense,0,1,0,0,0,0,0,0
Adenochilus gracilis,0,1,0,0,0,0,0,0
Adenostyles alliariae,0,1,0,0,0,0,0,0
Adenostyles leucophylla,0,1,0,0,0,0,0,0
Adiantum aethiopicum,0,1,0,0,0,0,0,0
Adiantum chilense,0,1,0,0,0,0,0,0
Adiantum cunninghamii,0,1,0,0,0,0,0,0
Adiantum diaphanum,0,1,0,0,0,0,0,0
Adiantum formosum,0,1,0,0,0,0,0,0
Adiantum hispidulum,0,1,0,0,0,0,0,0
Adiantum viridescens,0,1,0,0,0,0,0,0
Adinandra acuminata,1,0,0,0,0,0,0,1
Adinandra formosana,1,0,0,0,0,0,0,1
Adinandra integerrima,1,0,0,0,0,0,0,1
Adinandra sarosanthera,1,0,0,0,0,0,0,1
Adiscanthus fusciflorus,1,0,0,0,0,0,0,1
Adolphoduckea maynense,0,1,0,0,0,0,0,0
Adonidia merrillii,1,0,0,0,0,0,0,1
Adonis vernalis,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
Adoxa moschatellina,0.96969696969697,0,0.0303030303030303,0,0,0,0,0.972222222222222
Adriana quadripartita,0,0,0,0,0.5,0,0.5,0.5
Adriana urticoides,0,0,0,0,1,0,0,1
Aechmea aquilega,1,0,0,0,0,0,0,1
Aechmea bracteata,1,0,0,0,0,0,0,1
Aechmea calyculata,1,0,0,0,0,0,0,1
Aechmea dichlamydea,1,0,0,0,0,0,0,1
Aechmea distichantha,1,0,0,0,0,0,0,1
Aechmea fendleri,1,0,0,0,0,0,0,1
Aechmea magdalenae,1,0,0,0,0,0,0,1
Aechmea mertensii,1,0,0,0,0,0,0,0.166666666666667
Aechmea nudicaulis,1,0,0,0,0,0,0,0.272727272727273
Aechmea pubescens,1,0,0,0,0,0,0,1
Aechmea recurvata,1,0,0,0,0,0,0,1
Aechmea rubiginosa,1,0,0,0,0,0,0,1
Aechmea tillandsioides,1,0,0,0,0,0,0,1
Aechmea tonduzii,1,0,0,0,0,0,0,1
Aegiceras corniculatum,0,0,0,1,0,0,0,0
Aegiceras floridum,0,0,0,1,0,0,0,0
Aegilops cylindrica,0,1,0,0,0,0,0,0
Aegilops geniculata,0,1,0,0,0,0,0,0.142857142857143
Aegilops neglecta,0,1,0,0,0,0,0,0
Aegilops ovata,0,0,0,0,1,0,0,1
Aegilops triuncialis,0,1,0,0,0,0,0,0
Aegilops ventricosa,0,1,0,0,0,0,0,0
Aegiphila cephalophora,1,0,0,0,0,0,0,1
Aegiphila costaricensis,1,0,0,0,0,0,0,1
Aegiphila cuatrecasasii,1,0,0,0,0,0,0,1
Aegiphila deppeana,1,0,0,0,0,0,0,1
Aegiphila elata,1,0,0,0,0,0,0,1
Aegiphila integrifolia,1,0,0,0,0,0,0,1
Aegiphila laevis,1,0,0,0,0,0,0,1
Aegiphila martinicensis,1,0,0,0,0,0,0,1
Aegiphila membranacea,1,0,0,0,0,0,0,1
Aegiphila mollis,1,0,0,0,0,0,0,1
Aegiphila monstrosa,1,0,0,0,0,0,0,1
Aegiphila panamensis,1,0,0,0,0,0,0,1
Aegiphila racemosa,1,0,0,0,0,0,0,1
Aegiphila sellowiana,1,0,0,0,0,0,0,1
Aegiphila verticillata,1,0,0,0,0,0,0,1
Aegiphila villosa,1,0,0,0,0,0,0,1
Aegiphila vitelliniflora,1,0,0,0,0,0,0,1
Aeglopsis eggelingii,1,0,0,0,0,0,0,1
Aegonychon purpurea-coeruleum,1,0,0,0,0,0,0,0.4
Aegopodium podagraria,0,1,0,0,0,0,0,0
Aerva javanica,0,1,0,0,0,0,0,0
Aeschynanthus albidus,0,1,0,0,0,0,0,0
Aeschynanthus volubilis,0,1,0,0,0,0,0,0
Aesculus californica,0,0,1,0,0,0,0,0.142857142857143
Aesculus glabra,1,0,0,0,0,0,0,0.545454545454545
Aesculus hippocastanum,0.5,0,0.5,0,0,0,0,0.7
Aesculus turbinata,0,0,1,0,0,0,0,1
Aetheorhiza bulbosa,0,1,0,0,0,0,0,0
Aethionema saxatile,0,0.764705882352941,0,0.0392156862745098,0,0.196078431372549,0,0.0427350427350427
Aethusa cynapium,0,0.5,0,0,0,0.5,0,0.333333333333333
Aextoxicon punctatum,0.571428571428571,0,0.428571428571429,0,0,0,0,1
Afraegle paniculata,1,0,0,0,0,0,0,1
Aframomum leptolepis,1,0,0,0,0,0,0,1
Afrobrunnichia africana,0,1,0,0,0,0,0,0
Afrocanthium lactescens,1,0,0,0,0,0,0,0.909090909090909
Afrocanthium salubenii,1,0,0,0,0,0,0,1
Afrocarpus dawei,1,0,0,0,0,0,0,1
Afrocarpus falcatus,1,0,0,0,0,0,0,1
Afrocarpus gracilior,1,0,0,0,0,0,0,1
Afrocrania volkensii,1,0,0,0,0,0,0,1
Afrohybanthus enneaspermus,1,0,0,0,0,0,0,1
Afroligusticum petitianum,0,1,0,0,0,0,0,0
Afzelia quanzensis,1,0,0,0,0,0,0,1
Agalinis gattingeri,0,1,0,0,0,0,0,0
Aganope heptaphylla,0,0,0,1,0,0,0,0
Aganope thyrsiflora,0,1,0,0,0,0,0,0
Agarista buxifolia,0,1,0,0,0,0,0,0
Agarista populifolia,0,1,0,0,0,0,0,0
Agarista salicifolia,0,1,0,0,0,0,0,0
Agathis atropurpurea,0,1,0,0,0,0,0,0
Agathis australis,0,1,0,0,0,0,0,0
Agathis macrophylla,0,1,0,0,0,0,0,0
Agathis microstachya,0,1,0,0,0,0,0,0
Agathis moorei,0,1,0,0,0,0,0,0
Agathis robusta,0,1,0,0,0,0,0,0
Agave vivipara,0,1,0,0,0,0,0,0
Agdestis clematidea,0,1,0,0,0,0,0,0
Agelaea pentagyna,1,0,0,0,0,0,0,1
Agelanthus deltae,1,0,0,0,0,0,0,1
Agelanthus flammeus,1,0,0,0,0,0,0,1
Agelanthus fuellebornii,1,0,0,0,0,0,0,1
Agelanthus gracilis,1,0,0,0,0,0,0,1
Agelanthus longipes,1,0,0,0,0,0,0,1
Agelanthus lugardii,1,0,0,0,0,0,0,1
Agelanthus pilosus,1,0,0,0,0,0,0,1
Agelanthus pungu,1,0,0,0,0,0,0,1
Agelanthus sansibarensis,1,0,0,0,0,0,0,1
Agelanthus subulatus,1,0,0,0,0,0,0,1
Ageratina altissima,0,1,0,0,0,0,0,0
Ageratina atrocordata,0,1,0,0,0,0,0,0
Ageratina grandifolia,0,1,0,0,0,0,0,0
Ageratina mairetiana,0,1,0,0,0,0,0,0
Ageratina pazcuarensis,0,1,0,0,0,0,0,0
Ageratum conyzoides,0,1,0,0,0,0,0,0.5
Ageratum houstonianum,0,0,0,0,1,0,0,1
Aglaia argentea,1,0,0,0,0,0,0,1
Aglaia australiensis,1,0,0,0,0,0,0,1
Aglaia brassii,1,0,0,0,0,0,0,1
Aglaia brownii,1,0,0,0,0,0,0,1
Aglaia elaeagnoidea,1,0,0,0,0,0,0,1
Aglaia elliptica,1,0,0,0,0,0,0,1
Aglaia euryanthera,1,0,0,0,0,0,0,1
Aglaia heterotricha,1,0,0,0,0,0,0,1
Aglaia korthalsii,1,0,0,0,0,0,0,1
Aglaia lawii,1,0,0,0,0,0,0,1
Aglaia mackiana,1,0,0,0,0,0,0,1
Aglaia mariannensis,1,0,0,0,0,0,0,1
Aglaia meridionalis,1,0,0,0,0,0,0,1
Aglaia odoratissima,1,0,0,0,0,0,0,1
Aglaia rubiginosa,1,0,0,0,0,0,0,1
Aglaia sapindina,0.2,0,0.8,0,0,0,0,1
Aglaia silvestris,1,0,0,0,0,0,0,1
Aglaia speciosa,1,0,0,0,0,0,0,1
Aglaia spectabilis,0.571428571428571,0,0.428571428571429,0,0,0,0,1
Aglaia subcuprea,1,0,0,0,0,0,0,1
Aglaia teysmanniana,1,0,0,0,0,0,0,1
Aglaia tomentosa,1,0,0,0,0,0,0,1
Aglaonema commutatum,1,0,0,0,0,0,0,1
Aglaonema modestum,1,0,0,0,0,0,0,1
Agonandra brasiliensis,1,0,0,0,0,0,0,1
Agonandra excelsa,1,0,0,0,0,0,0,1
Agonandra macrocarpa,1,0,0,0,0,0,0,1
Agonandra peruviana,1,0,0,0,0,0,0,1
Agonandra silvatica,1,0,0,0,0,0,0,1
Agoseris heterophylla,0,1,0,0,0,0,0,0
Agouticarpa isernii,1,0,0,0,0,0,0,1
Agouticarpa velutina,1,0,0,0,0,0,0,1
Agraulus pallidus,0,0,0,0,1,0,0,0.5
